IMPERIAL COLLEGE SUPERSONIC WIND TUNNEL -  CONTROLLER RESULTS FILE 
Run time: 09:28:01 21-11-2022
Barometric pressure: 0.9994 BarA
Nozzle: Mach 2.0
Camera delay (ms): 0.0000
Time[s],PV[BarA],SP[BarA],IO[mA]
1.62100,0.99829,1.06816,5.54635
1.63100,0.99920,1.06816,5.55423
1.64100,1.00041,1.06816,5.56996
1.65700,1.00072,1.06816,5.56997
1.66700,1.00223,1.06816,5.57077
1.67700,1.00102,1.06816,5.57243
1.69200,1.00132,1.06816,5.58073
1.70300,0.99859,1.06816,5.58741
1.71300,0.99829,1.06816,5.59880
1.72300,0.99920,1.06816,5.61759
1.73500,0.99890,1.06816,5.62252
1.74600,1.00011,1.06816,5.63019
1.75600,1.00072,1.06816,5.63342
1.76600,1.00041,1.06816,5.64530
1.78000,1.00132,1.06816,5.64404
1.79000,0.99981,1.06816,5.64750
1.80000,0.99829,1.06816,5.65647
1.81000,0.99920,1.06816,5.67192
1.82100,0.99890,1.06816,5.67691
1.83200,0.99950,1.06816,5.68600
1.84300,1.00041,1.06816,5.69385
1.86000,1.00132,1.06816,5.70043
1.87000,1.00041,1.06816,5.70278
1.88100,1.00011,1.06816,5.70805
1.89100,0.99920,1.06816,5.72225
1.90400,0.99890,1.06816,5.72719
1.91500,0.99829,1.06816,5.73795
1.92600,0.99859,1.06816,5.75032
1.94400,1.00072,1.06816,5.76206
1.95400,1.00102,1.06816,5.76359
1.96500,1.00102,1.06816,5.76676
1.97600,0.99950,1.06816,5.77955
1.99000,0.99920,1.06816,5.78102
2.00100,0.99950,1.06816,5.79005
2.01100,0.99950,1.06816,5.80051
2.03600,0.99890,1.06816,5.81853
2.04600,1.00072,1.06816,5.82340
2.05600,1.00102,1.06816,5.84111
2.07900,1.00041,1.06816,5.84108
2.09000,0.99981,1.06816,5.84628
2.10000,0.99890,1.06816,5.86123
2.11300,0.99859,1.06816,5.86616
2.12300,0.99981,1.06816,5.87523
2.13300,1.00011,1.06816,5.88216
2.14300,1.00072,1.06816,5.89423
2.15700,1.00011,1.06816,5.89353
2.16700,1.00041,1.06816,5.89730
2.17800,1.00132,1.06816,5.90270
2.18800,1.00102,1.06816,5.91562
2.20200,1.00011,1.06816,5.91756
2.21200,1.00011,1.06816,5.92425
2.22200,1.00041,1.06816,5.93091
2.23200,1.00223,1.06816,5.94399
2.24500,1.00041,1.06816,5.94451
2.25500,0.99981,1.06816,5.95105
2.26600,1.00132,1.06816,5.95930
2.28400,1.00102,1.06816,5.96962
2.29400,0.99981,1.06816,5.97753
2.30500,1.00072,1.06816,5.98436
2.31500,1.00132,1.06816,5.99683
2.32700,1.00102,1.06816,5.99821
2.33800,0.99920,1.06816,6.00577
2.34900,0.99950,1.06816,6.01424
2.35900,1.00102,1.06816,6.02689
2.36900,1.00011,1.06816,6.02945
2.38000,1.00072,1.06816,6.03631
2.39000,0.99981,1.06816,6.04143
2.40000,1.00072,1.06816,6.05461
2.41300,1.00254,1.06816,6.05461
2.42300,1.00102,1.06816,6.05890
2.43300,1.00072,1.06816,6.06450
2.44300,1.00072,1.06816,6.07582
2.45400,1.00072,1.06816,6.07895
2.46500,1.00041,1.06816,6.08717
2.47500,0.99981,1.06816,6.09577
2.48500,0.99981,1.06816,6.11293
2.50100,1.00132,1.06816,6.11422
2.51100,1.00193,1.06816,6.11886
2.52100,1.00223,1.06816,6.12199
2.55900,1.00011,1.06816,6.14515
2.56900,0.99950,1.06816,6.15911
2.58300,1.00041,1.06816,6.16365
2.59300,1.00072,1.06816,6.17261
2.60400,1.00102,1.06816,6.17996
2.61400,1.00072,1.06816,6.19068
2.62400,1.00011,1.06816,6.19178
2.63500,1.00102,1.06816,6.19739
